ID,year,length,weight,stage
134,2011,574.6122881,254.6137925,Adult
135,2009,479.9202175,10.34421114,Adult
136,2010,383.9903576,24.94306958,Adult
137,2009,257.5226936,1.694586856,Juv
138,2009,767.7238668,47.66175084,Adult
139,2009,216.1514361,1.274262717,Juv
140,2011,520.7523967,180.6951441,Adult
141,2010,456.3714832,51.63237027,Adult
142,2010,264.1258251,5.099987833,Juv
143,2009,291.4513087,2.085616031,Adult
144,2012,338.6925543,10.35463405,Adult
145,2010,784.4678196,229.753316,Adult
146,2009,549.9675591,15.30344374,Adult
147,2012,633.8030373,35.84503101,Adult
148,2012,403.6713723,14.60903174,Adult
149,2011,272.5803119,22.40113383,Adult
150,2010,216.6170651,4.790158956,Juv
151,2009,760.5865263,35.21769899,Adult
152,2010,708.2290429,127.3117857,Adult
153,2012,494.5462718,21.97818954,Adult
154,2010,471.1123952,47.99600391,Adult
155,2010,332.958136,13.32976403,Adult
156,2011,796.7224173,473.9873791,Adult
157,2011,506.531081,129.2291752,Adult
158,2012,671.637618,75.91277343,Adult
159,2012,766.567447,76.34048298,Adult
160,2010,397.7879601,23.41837773,Adult
161,2011,385.8613808,62.05179265,Adult
162,2009,208.327172,0.406109681,Juv
163,2009,244.2625023,1.745140679,Juv
164,2011,720.6198828,425.7183174,Adult
165,2012,712.6000378,62.89284279,Adult
166,2011,633.9580701,237.5474715,Adult
167,2012,223.7017747,3.059791944,Juv
168,2011,436.4419825,67.15881219,Adult
169,2011,682.4413219,376.3805794,Adult
170,2010,246.6421932,5.270527321,Juv
171,2009,754.4224771,48.08922017,Adult
172,2010,552.3109039,60.16277848,Adult
173,2010,220.1210132,5.442970307,Juv
174,2009,200.567563,0.690667649,Juv
175,2010,616.1981974,68.81800046,Adult
176,2012,775.0311984,109.5911031,Adult
177,2010,557.1003828,62.51846986,Adult
178,2012,381.9632362,12.03985902,Adult
179,2009,556.9076232,18.42480722,Adult
180,2011,608.9182092,189.0417564,Adult
181,2012,285.8041708,5.058543057,Adult
182,2010,443.793462,29.5224252,Adult
183,2011,451.2928407,94.97338889,Adult
184,2011,253.0526768,9.868553034,Juv
185,2010,461.0144814,35.27677299,Adult
186,2009,690.8700864,33.32073005,Adult
187,2010,591.7357105,62.65682853,Adult
188,2011,717.9717161,507.7035667,Adult
189,2011,281.6477669,21.45586378,Adult
190,2010,775.604879,172.5795809,Adult
191,2012,764.7818059,101.7108305,Adult
192,2009,579.9699063,22.8427289,Adult
193,2009,267.8130363,1.804502808,Juv
194,2011,241.5015021,12.66560485,Juv
195,2009,614.4462096,20.05513601,Adult
196,2011,587.3141898,248.7989134,Adult
197,2011,758.5563419,500.1084902,Adult
198,2012,366.6508278,8.831262992,Adult
199,2009,428.8777526,8.318793154,Adult
200,2009,268.4754957,1.844738638,Juv
201,2009,399.0635856,5.617621298,Adult
202,2010,669.8962134,137.1998062,Adult
203,2012,332.6721389,9.060991627,Adult
204,2010,289.7520398,10.65815662,Adult
205,2012,796.6215686,94.08359181,Adult
206,2010,484.9721699,43.65701616,Adult
207,2012,222.7550336,1.893309109,Juv
208,2009,449.9413047,7.316449081,Adult
209,2010,651.8491688,92.75913629,Adult
210,2012,242.445369,3.20311625,Juv
211,2009,690.7634895,33.78101735,Adult
212,2012,472.170091,24.01452013,Adult
213,2011,260.0743953,16.60173493,Juv
214,2012,250.4969557,4.06409396,Juv
215,2011,461.9636944,102.938395,Adult
216,2012,249.7467479,3.830543592,Juv
217,2010,552.0281923,58.02943421,Adult
218,2011,349.9996755,54.71859382,Adult
219,2009,653.178399,30.82442832,Adult
220,2011,263.0778046,13.59876917,Juv
221,2010,728.1433947,148.1386559,Adult
222,2011,703.2450547,453.9781933,Adult
223,2009,673.4261322,39.01530515,Adult
224,2011,251.3299354,15.90774129,Juv
225,2010,577.4920484,90.19234046,Adult
226,2009,585.369616,22.58459557,Adult
227,2009,217.2414403,1.050465682,Juv
228,2012,603.6939773,35.97711191,Adult
229,2009,263.8504666,1.867316856,Juv
230,2011,750.4268662,401.3695589,Adult
231,2012,750.5412172,77.67347748,Adult
232,2011,486.3047071,132.7021551,Adult
233,2010,633.7009207,41.61805902,Adult
234,2012,391.6067816,13.63056111,Adult
235,2009,685.5649784,30.02924333,Adult
236,2010,232.0797991,5.502459623,Juv
237,2009,575.2715006,21.32218437,Adult
238,2011,370.759827,41.08716124,Adult
239,2010,216.3004778,3.028834044,Juv
240,2009,343.5045389,3.392039766,Adult
241,2009,401.9937039,6.610969548,Adult
242,2012,575.4672608,24.3158532,Adult
243,2010,492.1400431,42.98479516,Adult
244,2009,566.3615406,17.08080862,Adult
245,2011,515.435608,126.2583188,Adult
246,2010,411.9507608,24.53662432,Adult
247,2010,457.4723938,33.41751613,Adult
248,2010,304.2086944,14.43050942,Adult
249,2010,267.9309253,5.587054756,Juv
250,2009,319.4951389,3.51999542,Adult
251,2012,761.3200886,77.06216873,Adult
252,2010,503.7507914,65.35199911,Adult
253,2010,373.3935407,15.0085079,Adult
254,2012,266.7609059,4.697277717,Juv
255,2009,509.6820341,15.07742921,Adult
256,2011,637.5266384,270.41785,Adult
257,2011,747.4576995,349.2021461,Adult
258,2011,795.7609776,478.4446584,Adult
259,2012,667.0844147,60.29122479,Adult
260,2011,765.8040391,536.7123205,Adult
261,2011,258.3578718,12.02763562,Juv
262,2010,266.3266671,7.354764513,Juv
263,2009,637.0704112,25.33234678,Adult
264,2010,799.2536411,188.6596043,Adult
265,2009,484.2383825,10.89465185,Adult
266,2010,617.6699896,35.05355348,Adult
267,2010,475.1361559,33.3765389,Adult
268,2009,461.5102306,11.1797641,Adult
269,2010,352.0680107,10.97681928,Adult
270,2011,571.9175667,233.4464401,Adult
271,2010,591.3483051,94.75271416,Adult
272,2010,424.7178383,30.63081723,Adult
273,2010,788.7133916,132.4425574,Adult
274,2010,271.3954642,11.48602253,Adult
275,2009,424.4114637,6.538396338,Adult
276,2012,716.9980102,94.40277576,Adult
277,2011,610.7093401,182.369374,Adult
278,2011,798.9778864,649.8728118,Adult
279,2011,259.63372,15.20064624,Juv
280,2010,330.6390839,12.88990539,Adult
281,2010,702.9277903,161.2054433,Adult
282,2012,370.4995664,11.55520388,Adult
283,2012,794.8136484,111.3495341,Adult
284,2009,422.0883428,6.884203265,Adult
285,2012,715.9353461,93.35031008,Adult
286,2009,599.9267506,22.37160168,Adult
287,2011,339.4909827,50.99056064,Adult
288,2009,540.6010741,13.6226791,Adult
289,2009,708.1393438,30.85329341,Adult
290,2009,319.2988689,2.190705016,Adult
291,2009,660.5073563,31.17843561,Adult
292,2012,597.5118898,38.03442114,Adult
293,2011,500.6952569,138.1330267,Adult
294,2009,260.7288595,1.800996094,Juv
295,2012,248.8232137,5.068926259,Juv
296,2009,342.6770011,5.282782501,Adult
297,2009,392.697703,7.331160797,Adult
298,2011,348.7273068,51.4820598,Adult
299,2011,537.1558505,173.2267259,Adult
300,2012,269.2195969,4.236004983,Juv
301,2012,438.7986955,16.61131799,Adult
302,2011,387.5837556,44.85679189,Adult
303,2012,301.0907628,6.34803224,Adult
304,2011,302.582122,19.74711887,Adult
305,2012,264.6181536,3.830354814,Juv
306,2012,537.7776072,25.78547887,Adult
307,2009,298.8165445,2.991000756,Adult
308,2009,553.9761647,16.47085975,Adult
309,2012,623.0571277,59.96420379,Adult
310,2010,432.6987299,34.50526172,Adult
311,2011,598.3209728,272.8964901,Adult
312,2010,293.0621719,10.11726143,Adult
313,2009,394.4554297,6.974692108,Adult
314,2009,464.4241638,10.31828423,Adult
315,2011,403.7585487,42.88073055,Adult
316,2012,535.747474,34.16776639,Adult
317,2011,291.5907889,21.0772537,Adult
318,2012,680.1250274,45.11573971,Adult
319,2011,278.8692009,21.8365354,Adult
320,2010,604.7155096,92.44062782,Adult
321,2009,656.6084058,31.47469348,Adult
322,2009,236.090808,1.399346857,Juv
323,2012,775.0656681,76.30155582,Adult
324,2012,768.7169006,73.07403052,Adult
325,2009,784.0841149,46.34169502,Adult
326,2012,355.2889999,8.966210819,Adult
327,2009,580.2581226,16.72907979,Adult
328,2011,673.7968978,340.2487625,Adult
329,2009,533.3955902,18.47784702,Adult
330,2009,517.4178509,16.30409517,Adult
331,2011,289.5023672,29.02489387,Adult
332,2011,431.1896515,54.22966199,Adult
333,2009,235.316842,1.607813614,Juv
334,2011,485.0317552,102.4832855,Adult
335,2010,740.4112787,146.2501919,Adult
336,2010,747.3319225,172.9928806,Adult
337,2009,702.453656,30.58180989,Adult
338,2011,603.7355314,205.5276675,Adult
339,2011,482.4415711,103.7945921,Adult
340,2011,777.6551226,657.8442635,Adult
341,2010,418.1019449,30.16869747,Adult
342,2010,730.2650478,186.0569166,Adult
343,2012,630.8321307,40.20527944,Adult
344,2010,434.1102924,43.13742117,Adult
345,2012,305.609167,8.271570854,Adult
346,2010,778.9435383,209.6880094,Adult
347,2010,604.2957256,98.88815168,Adult
348,2010,364.8223708,16.17990181,Adult
349,2009,358.3383,6.118987648,Adult
350,2009,725.4085717,33.82885244,Adult
351,2010,443.3340172,26.02283722,Adult
352,2010,700.7365291,188.1673544,Adult
353,2011,553.4022372,162.3526977,Adult
354,2011,524.0296031,198.3952395,Adult
355,2009,271.9972583,1.324463978,Adult
356,2009,691.7047584,30.99611468,Adult
357,2011,616.9133661,209.4305174,Adult
358,2011,605.2308174,288.7482756,Adult
359,2011,708.3120095,497.6977426,Adult
360,2011,258.0935082,12.27736311,Juv
361,2011,634.479499,315.8056137,Adult
362,2009,228.38534,0.85146615,Juv
363,2010,577.7325768,38.65858898,Adult
364,2011,647.557536,242.9608295,Adult
365,2010,649.2416759,68.82691585,Adult
366,2011,249.6655087,10.19056452,Juv
367,2012,206.5834665,2.002962678,Juv
368,2011,428.0335841,77.92298287,Adult
369,2009,472.9785566,9.025444868,Adult
370,2010,449.6955587,42.65809863,Adult
371,2012,798.6149812,91.5763464,Adult
372,2012,255.2976114,3.191320499,Juv
373,2009,258.6917734,1.823733246,Juv
374,2011,477.8660933,117.3714831,Adult
375,2009,599.1217104,13.50433062,Adult
376,2010,377.8962658,20.57394358,Adult
377,2011,259.6370951,16.73365214,Juv
378,2010,693.846376,116.5996898,Adult
379,2011,771.9153266,525.9250606,Adult
380,2009,245.7782621,1.740743383,Juv
381,2011,615.1610264,289.1383368,Adult
382,2011,279.7780049,20.13057537,Adult
383,2010,491.7614955,58.96478911,Adult
384,2011,558.8677624,211.0897781,Adult
385,2009,357.2024824,4.584577315,Adult
386,2011,749.9309952,590.6945737,Adult
387,2009,377.4646563,5.128381265,Adult
388,2010,671.8589254,114.1420039,Adult
389,2011,640.7073156,361.8294283,Adult
390,2010,496.3037602,56.89473703,Adult
391,2011,547.9972234,235.7798527,Adult
392,2011,257.3188283,12.09526836,Juv
393,2011,466.5835029,99.2828709,Adult
394,2011,349.5508151,35.76188856,Adult
395,2012,283.1095939,3.71820567,Adult
396,2011,779.7604391,445.6386331,Adult
397,2009,283.5588059,2.000540959,Adult
398,2009,312.1378942,2.7522648,Adult
399,2012,228.0749976,2.842897026,Juv
400,2009,700.768887,41.28896493,Adult
401,2010,501.5244153,50.77230235,Adult
402,2009,753.8253871,43.14769301,Adult
403,2011,468.1866787,106.5601915,Adult
404,2012,541.2175133,33.45481783,Adult
405,2010,440.752124,29.83619888,Adult
406,2012,569.2105713,43.44521485,Adult
407,2012,748.0318898,111.6828075,Adult
408,2012,554.5882083,35.58380796,Adult
409,2009,293.8907885,2.409993025,Adult
410,2012,417.7062243,14.32471559,Adult
411,2012,778.2274755,104.2842768,Adult
412,2011,774.3847762,578.0885206,Adult
413,2011,477.7677312,104.5819424,Adult
414,2010,745.4949055,115.7805492,Adult
415,2010,470.5008934,44.68560796,Adult
416,2010,322.1961294,7.440369033,Adult
417,2012,797.9111018,90.16879791,Adult
418,2010,395.79006,27.5182997,Adult
419,2011,708.4291466,392.6153656,Adult
420,2009,589.9972385,21.29382474,Adult
421,2010,415.4220037,33.00780625,Adult
422,2012,525.5769769,40.24809106,Adult
423,2011,488.4762955,85.54271466,Adult
424,2010,421.9966312,28.31868538,Adult
425,2011,585.749106,214.0259547,Adult
426,2012,281.9967627,3.969053119,Adult
427,2012,409.9236529,15.20649582,Adult
428,2012,210.3224247,3.429506785,Juv
429,2012,703.1327715,58.9838158,Adult
430,2011,563.4634953,161.8521418,Adult
431,2010,301.2758959,7.443057158,Adult
432,2010,786.2588711,161.3110214,Adult
433,2011,529.7093702,145.4632817,Adult
434,2009,349.2228531,3.733850177,Adult
435,2011,243.1100251,13.94086194,Juv
436,2009,765.9300374,25.00590246,Adult
437,2011,234.2821457,12.37490679,Juv
438,2012,496.4481832,25.35299375,Adult
439,2009,235.5947262,1.208409189,Juv
440,2011,247.0021786,12.63800693,Juv
441,2011,607.1369456,281.0981515,Adult
442,2009,500.3126926,15.73625904,Adult
443,2010,740.406041,175.0653281,Adult
444,2012,408.826619,13.67145204,Adult
445,2011,242.2014904,5.505363868,Juv
446,2012,479.2897028,19.27070906,Adult
447,2012,389.8368777,11.04645074,Adult
448,2012,788.8702711,113.8987504,Adult
449,2011,310.8161276,36.93119143,Adult
450,2012,600.4141212,54.44569022,Adult
451,2012,702.8510327,83.00163174,Adult
452,2011,230.832829,12.74744546,Juv
453,2011,253.9455622,16.21305791,Juv
454,2009,315.6963056,4.110130104,Adult
455,2009,223.8290559,1.259325482,Juv
456,2010,740.6454851,164.1829079,Adult
457,2011,504.5316342,152.5305207,Adult
458,2011,677.7855782,245.017501,Adult
459,2011,317.8356478,34.94718079,Adult
460,2010,744.67025,151.1080865,Adult
461,2010,613.7360656,92.76696095,Adult
462,2009,220.1494451,1.250803155,Juv
463,2009,396.2720062,7.777576043,Adult
464,2010,495.1507889,37.80655513,Adult
465,2010,673.4656997,117.7327863,Adult
466,2009,572.3940375,12.19562934,Adult
467,2011,211.1476691,10.54626336,Juv
468,2012,431.2253451,13.38484041,Adult
469,2011,268.158726,17.4185751,Juv
470,2012,485.1864767,29.56738146,Adult
471,2009,627.5088708,28.57726976,Adult
472,2012,226.8734097,3.130401829,Juv
473,2009,617.7523323,14.65991914,Adult
474,2010,696.7273213,79.19778147,Adult
475,2012,667.2464587,43.49503441,Adult
476,2011,268.4282088,22.58236956,Juv
477,2012,727.6119071,93.35653282,Adult
478,2009,498.8342909,17.22193535,Adult
479,2012,575.2313757,34.84745935,Adult
480,2009,617.7219294,22.25006955,Adult
481,2011,505.0538904,116.609714,Adult
482,2009,771.6424202,42.42947666,Adult
483,2009,727.1760006,37.44569107,Adult
484,2009,202.1448368,0.683732783,Juv
485,2011,410.4359469,68.98105601,Adult
486,2009,291.0955259,1.190852204,Adult
487,2009,735.8429663,45.35541135,Adult
488,2011,479.8302576,140.6995931,Adult
489,2010,440.5590155,36.04569822,Adult
490,2009,703.1998817,34.8656359,Adult
491,2011,476.4415405,98.76629978,Adult
492,2011,428.3803295,100.0904148,Adult
493,2009,479.4942584,11.33055696,Adult
494,2012,455.689331,25.26892571,Adult
495,2012,261.9456866,3.935600789,Juv
496,2010,794.2056046,201.1680515,Adult
497,2012,727.7896388,122.9549094,Adult
498,2011,340.0765902,38.65320346,Adult
499,2010,760.8982993,170.2788124,Adult
500,2011,711.7428444,319.000552,Adult
501,2011,666.952553,316.6914697,Adult
502,2010,253.2844072,6.088981633,Juv
503,2009,256.3501938,1.852495701,Juv
504,2012,335.3298796,10.78916285,Adult
505,2012,592.4897662,33.36067828,Adult
506,2012,522.6469823,31.88399677,Adult
507,2011,333.0551805,28.17907937,Adult
508,2009,686.8324472,23.14772649,Adult
509,2009,488.2104046,12.47087539,Adult
510,2009,633.2985922,18.9576828,Adult
511,2009,526.0653883,13.21734761,Adult
512,2009,455.9940239,9.127505419,Adult
513,2012,495.6760632,17.78552968,Adult
514,2010,408.9267725,24.79852381,Adult
515,2009,344.717343,5.143659816,Adult
516,2010,527.4404944,57.08705013,Adult
517,2009,457.6400819,10.92055053,Adult
518,2010,632.5720953,93.75334095,Adult
519,2010,726.0474507,164.486773,Adult
520,2010,646.4788807,95.77330112,Adult
521,2010,535.9757202,47.02181636,Adult
522,2009,339.9832192,3.486263793,Adult
523,2009,653.856651,26.52754638,Adult
524,2012,633.4314437,37.50387729,Adult
525,2009,320.7963529,3.629961947,Adult
526,2011,339.033133,31.11993866,Adult
527,2011,211.515052,8.112891104,Juv
528,2011,599.1067482,183.5738709,Adult
529,2012,783.4852415,94.14723487,Adult
530,2011,672.210951,473.6856,Adult
531,2009,484.7172272,10.0180114,Adult
532,2011,633.2650826,210.2174398,Adult
533,2009,443.862276,8.468626121,Adult
534,2012,680.0326033,80.27413349,Adult
535,2012,331.2165192,9.718623517,Adult
536,2010,370.5973004,26.32312153,Adult
537,2011,545.5874124,168.6091671,Adult
538,2010,324.8500786,14.80422789,Adult
539,2009,205.9248057,1.147366921,Juv
540,2010,690.0218906,123.9542077,Adult
541,2009,413.6942603,7.707632501,Adult
542,2011,517.5605393,137.8732637,Adult
543,2009,799.3021834,57.01790329,Adult
544,2011,549.3485196,227.2183303,Adult
545,2012,690.0051927,60.31286827,Adult
546,2011,244.3015797,10.19905245,Juv
547,2009,664.9432177,31.56378541,Adult
548,2012,467.3312572,20.21815616,Adult
549,2012,545.8825166,45.07475276,Adult
550,2011,789.8653621,510.2585602,Adult
551,2012,652.083487,66.73522883,Adult
552,2010,646.9960296,93.61072577,Adult
553,2009,255.0421742,1.931458235,Juv
554,2009,210.6030446,0.898787454,Juv
555,2009,293.3555904,2.648786179,Adult
556,2009,480.9644327,16.77234801,Adult
557,2009,401.2213711,4.986245576,Adult
558,2009,416.2594439,6.836269625,Adult
559,2011,686.0971614,285.079519,Adult
560,2010,511.1568568,52.43120248,Adult
561,2009,460.8964304,8.702824571,Adult
562,2011,704.8907346,148.7551187,Adult
563,2009,513.3841839,8.579481911,Adult
564,2010,226.7630531,4.16168049,Juv
565,2012,698.3901412,74.00104063,Adult
566,2011,719.9738666,398.212003,Adult
567,2012,550.9255797,27.9155157,Adult
568,2009,609.7190403,17.13804075,Adult
569,2011,353.0625412,25.54471996,Adult
570,2009,593.4712817,20.33985996,Adult
571,2011,265.0435151,19.13683891,Juv
572,2012,448.9157968,18.27092729,Adult
573,2010,516.6137675,39.88100927,Adult
574,2011,301.2793278,27.48776969,Adult
575,2009,665.8934283,32.61872727,Adult
576,2012,323.0328825,6.997428951,Adult
577,2012,411.7534242,14.25937302,Adult
578,2012,337.9712779,9.942692665,Adult
579,2010,590.3311518,83.93173969,Adult
580,2010,308.9196808,9.107186787,Adult
581,2011,455.1573246,89.20835797,Adult
582,2012,440.6811457,16.33352841,Adult
583,2012,522.2013989,36.38221825,Adult
584,2009,446.9622178,8.348406468,Adult
585,2011,248.598667,15.19280851,Juv
586,2010,304.7579431,8.370017324,Adult
587,2012,309.6008766,8.222610901,Adult
588,2012,253.3671293,3.484857956,Juv
589,2011,358.7603676,53.85639548,Adult
590,2011,368.2897247,40.3590028,Adult
591,2009,320.5322322,1.584769898,Adult
592,2009,322.0802309,4.190400936,Adult
593,2010,414.3222711,16.74516893,Adult
594,2012,422.1015067,19.53971327,Adult
595,2012,310.4789809,7.18102384,Adult
596,2010,579.9132977,82.84865215,Adult
597,2010,662.1686376,86.53294563,Adult
598,2009,709.7926009,43.49701673,Adult
599,2009,702.5967102,37.45853545,Adult
600,2011,493.7559716,77.21124209,Adult
601,2011,380.1745991,54.42684179,Adult
602,2011,356.0650493,38.43162484,Adult
603,2010,640.5691096,96.3202188,Adult
604,2009,719.1922582,40.07296621,Adult
605,2009,218.0137683,1.259924338,Juv
606,2012,369.2743653,11.47732009,Adult
607,2010,335.8290924,14.22048047,Adult
608,2011,379.6607837,55.82310564,Adult
609,2010,265.7180214,5.082945476,Juv
610,2009,525.821083,20.8780361,Adult
611,2010,511.5600331,31.1678444,Adult
612,2012,457.3809018,17.70124657,Adult
613,2010,730.5726816,159.2555261,Adult
614,2010,362.3553521,22.3708593,Adult
615,2011,282.9822811,21.8707296,Adult
616,2010,698.3488481,159.4074261,Adult
617,2012,318.7155455,6.375188659,Adult
618,2011,560.0567398,260.0703511,Adult
619,2012,524.4491027,20.58136773,Adult
620,2011,448.048707,91.15866065,Adult
621,2012,305.3344322,5.301960672,Adult
622,2010,733.9792184,134.3195281,Adult
623,2010,672.5547099,153.384229,Adult
624,2012,518.4834829,33.94750117,Adult
625,2011,690.2896334,384.7063495,Adult
626,2010,405.5270416,19.36573246,Adult
627,2009,600.8926238,22.43453015,Adult
628,2011,414.5610889,93.62493125,Adult
629,2011,511.014752,144.6523742,Adult
630,2012,214.707747,1.639946751,Juv
631,2010,740.910958,135.6235043,Adult
632,2012,409.9290271,15.72396086,Adult
633,2009,342.1438632,4.140293063,Adult
634,2010,582.516104,55.42438671,Adult
635,2012,464.505039,15.30692277,Adult
636,2011,452.6915796,72.62555262,Adult
637,2011,686.9867499,397.3238086,Adult
638,2012,513.0350066,29.92929439,Adult
639,2009,372.4890284,4.398928372,Adult
640,2012,640.1965706,41.64510367,Adult
641,2009,744.0849953,27.25106044,Adult
642,2012,348.2495264,6.67845939,Adult
643,2012,231.0761716,2.811689488,Juv
644,2011,787.15962,511.9806338,Adult
645,2009,568.9403323,13.85124931,Adult
646,2011,796.6363086,458.6005184,Adult
647,2010,307.1218113,12.10113013,Adult
648,2009,728.2527794,39.06549623,Adult
649,2011,609.9638504,204.7898856,Adult
650,2010,794.9743525,159.5410066,Adult
651,2009,263.127097,2.077915441,Juv
652,2012,201.387146,1.949259945,Juv
653,2012,385.8425467,16.96875036,Adult
654,2009,346.1336903,4.898183652,Adult
655,2011,414.5850423,85.18234014,Adult
656,2011,735.119511,465.4179093,Adult
657,2011,316.9223147,23.79127514,Adult
658,2010,792.96604,183.9510788,Adult
659,2010,353.105224,12.51184217,Adult
660,2012,491.0094938,29.58026006,Adult
661,2009,386.2265421,4.350898827,Adult
662,2010,376.3846782,22.56602229,Adult
663,2011,207.1829754,8.15033652,Juv
664,2010,416.1357781,32.81740165,Adult
665,2010,316.1027904,7.254485674,Adult
666,2010,779.518115,129.8177294,Adult
667,2009,370.9264636,3.86671999,Adult
668,2010,296.8444008,10.41319588,Adult
669,2012,695.6931173,86.54672281,Adult
